Run,Sentence,Token,Word
0,160,0,Jessica
0,160,1,going_to
0,160,2,deer
0,161,0,Jessica
0,161,1,going_to
0,161,2,deer
0,162,0,Jessica
0,162,1,chasing
0,162,2,deer
0,163,0,Jessica
0,163,1,shooting
0,163,2,deer
0,164,0,Jessica
0,164,1,gathering
0,164,2,deer
0,165,0,Jessica
0,165,1,butchering
0,165,2,deer
0,166,0,Jessica
0,166,1,washing
0,166,2,deer
0,167,0,Jessica
0,167,1,cooking
0,167,2,deer
0,168,0,Jessica
0,168,1,eating
0,168,2,deer
0,169,0,Jessica
0,169,1,searching
0,170,0,Jessica
0,170,1,going_to
0,170,2,deer
0,171,0,Jessica
0,171,1,going_to
0,171,2,deer
0,172,0,Jessica
0,172,1,going_to
0,172,2,deer
0,173,0,Jessica
0,173,1,going_to
0,173,2,deer
0,174,0,Jessica
0,174,1,chasing
0,174,2,deer
0,175,0,Jessica
0,175,1,searching
0,176,0,Jessica
0,176,1,going_to
0,176,2,deer
0,177,0,Jessica
0,177,1,going_to
0,177,2,deer
0,178,0,Jessica
0,178,1,chasing
0,178,2,deer
0,179,0,Jessica
0,179,1,searching
0,180,0,Jessica
0,180,1,going_to
0,180,2,deer
0,181,0,Jessica
0,181,1,going_to
0,181,2,deer
0,182,0,Jessica
0,182,1,going_to
0,182,2,deer
0,183,0,Jessica
0,183,1,going_to
0,183,2,deer
0,184,0,Jessica
0,184,1,chasing
0,184,2,deer
0,185,0,Jessica
0,185,1,searching
0,186,0,Jessica
0,186,1,going_to
0,186,2,deer
0,187,0,Jessica
0,187,1,going_to
0,187,2,deer
0,188,0,Jessica
0,188,1,going_to
0,188,2,deer
0,189,0,Jessica
0,189,1,going_to
0,189,2,deer
0,190,0,Jessica
0,190,1,chasing
0,190,2,deer
0,191,0,Jessica
0,191,1,searching
0,192,0,Jessica
0,192,1,going_to
0,192,2,deer
0,193,0,Jessica
0,193,1,going_to
0,193,2,deer
0,194,0,Jessica
0,194,1,going_to
0,194,2,deer
0,195,0,Jessica
0,195,1,going_to
0,195,2,deer
0,196,0,Jessica
0,196,1,chasing
0,196,2,deer
0,197,0,Jessica
0,197,1,searching
0,198,0,Jessica
0,198,1,going_to
0,198,2,deer
